Prompts_with_Context,Labels
"Given the following:
Nitrogen Content: 106.0, Phosphorous Content: 21.0, Potassium Content: 52.0, Temperature: 28.89578588, Humidity: 94.78993038, pH: 6.286515359, Rainfall: 23.0362503, Plant muskmelon
Nitrogen Content: 106.0, Phosphorous Content: 21.0, Potassium Content: 35.0, Temperature: 25.627355, Humidity: 57.04151119, pH: 7.428523634, Rainfall: 188.5506536, Plant coffee
Nitrogen Content: 106.0, Phosphorous Content: 46.0, Potassium Content: 20.0, Temperature: 23.43821725, Humidity: 78.63388824, pH: 6.200671976, Rainfall: 81.15072105, Plant cotton
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 106.0, Phosphorous Content: 49.0, Potassium Content: 24.0, Temperature: 23.03887865, Humidity: 76.47039772, pH: 6.983395573, Rainfall: 90.64770699",cotton
"Given the following:
Nitrogen Content: 18.0, Phosphorous Content: 30.0, Potassium Content: 29.0, Temperature: 26.7627493, Humidity: 92.86056895, pH: 6.420018717, Rainfall: 224.5903664, Plant coconut
Nitrogen Content: 30.0, Phosphorous Content: 79.0, Potassium Content: 22.0, Temperature: 18.28766124, Humidity: 69.48515056, pH: 6.254216611, Rainfall: 48.60449438, Plant lentil
Nitrogen Content: 30.0, Phosphorous Content: 13.0, Potassium Content: 25.0, Temperature: 27.15116142, Humidity: 91.48889469, pH: 6.413184638, Rainfall: 164.9182225, Plant coconut
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 30.0, Phosphorous Content: 61.0, Potassium Content: 18.0, Temperature: 27.14911056, Humidity: 67.02664337, pH: 6.157782589, Rainfall: 52.50812701",lentil
"Given the following:
Nitrogen Content: 39.0, Phosphorous Content: 71.0, Potassium Content: 84.0, Temperature: 20.28155898, Humidity: 16.39535215, pH: 8.140825437, Rainfall: 82.52339655, Plant chickpea
Nitrogen Content: 39.0, Phosphorous Content: 70.0, Potassium Content: 15.0, Temperature: 20.76774783, Humidity: 63.90164154, pH: 6.366355781, Rainfall: 47.9271552, Plant lentil
Nitrogen Content: 32.0, Phosphorous Content: 41.0, Potassium Content: 16.0, Temperature: 28.63618921, Humidity: 61.39451307, pH: 7.702287236, Rainfall: 68.54877876, Plant mothbeans
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 39.0, Phosphorous Content: 16.0, Potassium Content: 27.0, Temperature: 35.53845018, Humidity: 52.94641947, pH: 4.934964765, Rainfall: 91.54560427",mango
"Given the following:
Nitrogen Content: 21.0, Phosphorous Content: 44.0, Potassium Content: 18.0, Temperature: 27.06909959, Humidity: 86.89934108, pH: 7.12851089, Rainfall: 50.46746116, Plant mungbean
Nitrogen Content: 84.0, Phosphorous Content: 44.0, Potassium Content: 21.0, Temperature: 21.869274, Humidity: 61.91044947, pH: 5.850439831, Rainfall: 107.2681929, Plant maize
Nitrogen Content: 8.0, Phosphorous Content: 28.0, Potassium Content: 38.0, Temperature: 23.22594, Humidity: 94.42971362, pH: 6.8444019, Rainfall: 105.6917856, Plant pomegranate
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 8.0, Phosphorous Content: 23.0, Potassium Content: 44.0, Temperature: 18.47412402, Humidity: 89.68919664, pH: 7.130837931, Rainfall: 108.4758509",pomegranate
"Given the following:
Nitrogen Content: 52.0, Phosphorous Content: 73.0, Potassium Content: 79.0, Temperature: 17.25769499, Humidity: 18.74943955, pH: 7.840339389, Rainfall: 94.00287214, Plant chickpea
Nitrogen Content: 88.0, Phosphorous Content: 17.0, Potassium Content: 52.0, Temperature: 29.90415889, Humidity: 90.75284363, pH: 6.646962425, Rainfall: 25.37828397, Plant muskmelon
Nitrogen Content: 74.0, Phosphorous Content: 48.0, Potassium Content: 17.0, Temperature: 21.63162756, Humidity: 60.27766379, pH: 6.430616465, Rainfall: 69.21803098, Plant maize
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 77.0, Phosphorous Content: 52.0, Potassium Content: 17.0, Temperature: 24.86374934, Humidity: 65.7420046, pH: 5.714799723, Rainfall: 75.82270467",maize
"Given the following:
Nitrogen Content: 98.0, Phosphorous Content: 8.0, Potassium Content: 51.0, Temperature: 26.1793464, Humidity: 86.52258079, pH: 6.25933595, Rainfall: 49.43050977, Plant watermelon
Nitrogen Content: 98.0, Phosphorous Content: 25.0, Potassium Content: 52.0, Temperature: 25.2801372, Humidity: 83.15393658, pH: 6.224066378, Rainfall: 49.29456609, Plant watermelon
Nitrogen Content: 86.0, Phosphorous Content: 95.0, Potassium Content: 49.0, Temperature: 28.05484146, Humidity: 78.04602887, pH: 6.458714879, Rainfall: 108.3957179, Plant banana
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 98.0, Phosphorous Content: 53.0, Potassium Content: 38.0, Temperature: 20.26707606, Humidity: 81.63895217, pH: 5.01450727, Rainfall: 270.4417274",rice
"Given the following:
Nitrogen Content: 117.0, Phosphorous Content: 25.0, Potassium Content: 53.0, Temperature: 29.11858526, Humidity: 92.12543021, pH: 6.413927319, Rainfall: 24.52020164, Plant muskmelon
Nitrogen Content: 117.0, Phosphorous Content: 26.0, Potassium Content: 30.0, Temperature: 27.92374437, Humidity: 67.96910852, pH: 7.079850922, Rainfall: 115.2325531, Plant coffee
Nitrogen Content: 118.0, Phosphorous Content: 21.0, Potassium Content: 34.0, Temperature: 24.38534644, Humidity: 64.72543073, pH: 7.234258375, Rainfall: 119.6324109, Plant coffee
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 117.0, Phosphorous Content: 24.0, Potassium Content: 53.0, Temperature: 29.17220859, Humidity: 92.21405224, pH: 6.293486295, Rainfall: 21.30290472",muskmelon
"Given the following:
Nitrogen Content: 101.0, Phosphorous Content: 17.0, Potassium Content: 47.0, Temperature: 29.49401389, Humidity: 94.72981338, pH: 6.185053234, Rainfall: 26.30820876, Plant muskmelon
Nitrogen Content: 112.0, Phosphorous Content: 17.0, Potassium Content: 28.0, Temperature: 27.62975458, Humidity: 61.26002598, pH: 6.777417989, Rainfall: 196.6492664, Plant coffee
Nitrogen Content: 100.0, Phosphorous Content: 17.0, Potassium Content: 48.0, Temperature: 29.72791119, Humidity: 94.29753295, pH: 6.367800632, Rainfall: 26.52364146, Plant muskmelon
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 101.0, Phosphorous Content: 17.0, Potassium Content: 55.0, Temperature: 24.37118217, Humidity: 87.1269128, pH: 6.451499764, Rainfall: 44.63907691",watermelon
"Given the following:
Nitrogen Content: 81.0, Phosphorous Content: 56.0, Potassium Content: 36.0, Temperature: 23.39605743, Humidity: 72.60512854, pH: 7.097586415, Rainfall: 174.7876411, Plant jute
Nitrogen Content: 81.0, Phosphorous Content: 30.0, Potassium Content: 48.0, Temperature: 28.52379742, Humidity: 92.09688432, pH: 6.041027474, Rainfall: 29.86681385, Plant muskmelon
Nitrogen Content: 82.0, Phosphorous Content: 48.0, Potassium Content: 36.0, Temperature: 25.79351957, Humidity: 81.76904006, pH: 6.352076783, Rainfall: 193.2418382, Plant jute
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 81.0, Phosphorous Content: 36.0, Potassium Content: 38.0, Temperature: 23.76554749, Humidity: 87.98329901, pH: 6.334837865, Rainfall: 150.3166152",jute
"Given the following:
Nitrogen Content: 15.0, Phosphorous Content: 28.0, Potassium Content: 32.0, Temperature: 28.84270971, Humidity: 99.64328526, pH: 6.218571874, Rainfall: 224.4016682, Plant coconut
Nitrogen Content: 5.0, Phosphorous Content: 15.0, Potassium Content: 38.0, Temperature: 18.26233221, Humidity: 88.16779129, pH: 5.709380472, Rainfall: 108.0756727, Plant pomegranate
Nitrogen Content: 15.0, Phosphorous Content: 77.0, Potassium Content: 20.0, Temperature: 25.13163619, Humidity: 66.92642362, pH: 7.399749291, Rainfall: 49.04015558, Plant lentil
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 15.0, Phosphorous Content: 54.0, Potassium Content: 15.0, Temperature: 29.97604322, Humidity: 57.03184356, pH: 8.35495812, Rainfall: 44.86052932",mothbeans
