Prompts_with_Context,labels,responses
"Given the following:
Nitrogen Content: 55.0, Phosphorous Content: 60.0, Potassium Content: 15.0, Temperature: 32.79766751, Humidity: 68.77994074, pH: 7.163043872, Rainfall: 64.11411069, Plant blackgram
Nitrogen Content: 58.0, Phosphorous Content: 73.0, Potassium Content: 16.0, Temperature: 33.36984395, Humidity: 65.67718163, pH: 6.874142175, Rainfall: 64.89517488, Plant blackgram
Nitrogen Content: 65.0, Phosphorous Content: 54.0, Potassium Content: 39.0, Temperature: 23.75091572, Humidity: 71.14782585, pH: 7.124571593, Rainfall: 160.0889553, Plant jute
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 55.0, Phosphorous Content: 67.0, Potassium Content: 16.0, Temperature: 34.37329112, Humidity: 69.69366426, pH: 6.596719015, Rainfall: 70.27184748
Provide a one word answer.",blackgram,  Maize
"Given the following:
Nitrogen Content: 21.0, Phosphorous Content: 39.0, Potassium Content: 20.0, Temperature: 27.06179658, Humidity: 52.3003173, pH: 7.388007483, Rainfall: 60.74583498, Plant mothbeans
Nitrogen Content: 21.0, Phosphorous Content: 63.0, Potassium Content: 17.0, Temperature: 25.08966129, Humidity: 68.17543102, pH: 6.559681838, Rainfall: 41.45486619, Plant lentil
Nitrogen Content: 21.0, Phosphorous Content: 44.0, Potassium Content: 18.0, Temperature: 27.06909959, Humidity: 86.89934108, pH: 7.12851089, Rainfall: 50.46746116, Plant mungbean
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 21.0, Phosphorous Content: 38.0, Potassium Content: 20.0, Temperature: 27.10508014, Humidity: 63.56791363, pH: 5.794289715, Rainfall: 62.20279647
Provide a one word answer.",mothbeans,  Suggests
"Given the following:
Nitrogen Content: 36.0, Phosphorous Content: 125.0, Potassium Content: 196.0, Temperature: 37.46566825, Humidity: 80.65968681, pH: 6.15526103, Rainfall: 66.83872293, Plant grapes
Nitrogen Content: 36.0, Phosphorous Content: 24.0, Potassium Content: 41.0, Temperature: 24.94467632, Humidity: 94.25702672, pH: 7.009180374, Rainfall: 103.8799347, Plant pomegranate
Nitrogen Content: 36.0, Phosphorous Content: 29.0, Potassium Content: 13.0, Temperature: 20.68185224, Humidity: 90.91510525, pH: 7.829507245, Rainfall: 109.7513927, Plant orange
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 36.0, Phosphorous Content: 144.0, Potassium Content: 196.0, Temperature: 23.65167552, Humidity: 94.50528753, pH: 6.496934492, Rainfall: 115.3611268
Provide a one word answer.",apple,  Orange
"Given the following:
Nitrogen Content: 6.0, Phosphorous Content: 63.0, Potassium Content: 23.0, Temperature: 26.01630259, Humidity: 49.94704718, pH: 5.906596905, Rainfall: 160.3337447, Plant pigeonpeas
Nitrogen Content: 6.0, Phosphorous Content: 36.0, Potassium Content: 22.0, Temperature: 24.21610338, Humidity: 59.79236306, pH: 8.869532817, Rainfall: 42.24783476, Plant mothbeans
Nitrogen Content: 6.0, Phosphorous Content: 59.0, Potassium Content: 21.0, Temperature: 26.58972517, Humidity: 66.14007674, pH: 6.139215944, Rainfall: 50.90994463, Plant lentil
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 6.0, Phosphorous Content: 62.0, Potassium Content: 22.0, Temperature: 20.53052663, Humidity: 18.09224048, pH: 5.824090984, Rainfall: 120.4509288
Provide a one word answer.",kidneybeans,  Lentil
"Given the following:
Nitrogen Content: 38.0, Phosphorous Content: 36.0, Potassium Content: 21.0, Temperature: 28.02952623, Humidity: 84.8845732, pH: 6.556372966, Rainfall: 36.12042927, Plant mungbean
Nitrogen Content: 38.0, Phosphorous Content: 14.0, Potassium Content: 37.0, Temperature: 21.80523051, Humidity: 94.63612858, pH: 6.658402594, Rainfall: 102.6488846, Plant pomegranate
Nitrogen Content: 38.0, Phosphorous Content: 19.0, Potassium Content: 31.0, Temperature: 34.73823882, Humidity: 49.08864345, pH: 5.855119268, Rainfall: 90.65022183, Plant mango
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 38.0, Phosphorous Content: 15.0, Potassium Content: 27.0, Temperature: 33.7462686, Humidity: 48.50387598, pH: 6.777788126, Rainfall: 92.26439205
Provide a one word answer.",mango,  Mango
"Given the following:
Nitrogen Content: 17.0, Phosphorous Content: 57.0, Potassium Content: 21.0, Temperature: 19.88394011, Humidity: 20.31564139, pH: 5.789214289, Rainfall: 60.91974792, Plant kidneybeans
Nitrogen Content: 17.0, Phosphorous Content: 18.0, Potassium Content: 43.0, Temperature: 24.4880844, Humidity: 90.83687246, pH: 5.843005428, Rainfall: 103.1969341, Plant pomegranate
Nitrogen Content: 17.0, Phosphorous Content: 56.0, Potassium Content: 17.0, Temperature: 27.94293692, Humidity: 45.41393636, pH: 5.9565851, Rainfall: 69.66289997, Plant mothbeans
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 17.0, Phosphorous Content: 58.0, Potassium Content: 20.0, Temperature: 28.06642822, Humidity: 85.91625451, pH: 6.42937879, Rainfall: 39.23831035
Provide a one word answer.",mungbean,  based
"Given the following:
Nitrogen Content: 85.0, Phosphorous Content: 95.0, Potassium Content: 47.0, Temperature: 25.94019018, Humidity: 78.3422098, pH: 6.211833161, Rainfall: 119.84797, Plant banana
Nitrogen Content: 94.0, Phosphorous Content: 89.0, Potassium Content: 48.0, Temperature: 28.55980972, Humidity: 84.51602322, pH: 5.653437902, Rainfall: 111.0843029, Plant banana
Nitrogen Content: 88.0, Phosphorous Content: 17.0, Potassium Content: 52.0, Temperature: 29.90415889, Humidity: 90.75284363, pH: 6.646962425, Rainfall: 25.37828397, Plant muskmelon
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 86.0, Phosphorous Content: 95.0, Potassium Content: 49.0, Temperature: 28.05484146, Humidity: 78.04602887, pH: 6.458714879, Rainfall: 108.3957179
Provide a one word answer.",banana,  Banana
"Given the following:
Nitrogen Content: 7.0, Phosphorous Content: 17.0, Potassium Content: 26.0, Temperature: 34.89226666, Humidity: 48.75613373, pH: 6.414526606, Rainfall: 91.63074547, Plant mango
Nitrogen Content: 7.0, Phosphorous Content: 21.0, Potassium Content: 35.0, Temperature: 25.76011662, Humidity: 94.65830608, pH: 5.764812076, Rainfall: 131.2451414, Plant coconut
Nitrogen Content: 6.0, Phosphorous Content: 7.0, Potassium Content: 7.0, Temperature: 27.68167318, Humidity: 94.47316879, pH: 7.199106204, Rainfall: 113.9995146, Plant orange
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 7.0, Phosphorous Content: 31.0, Potassium Content: 27.0, Temperature: 31.32863689, Humidity: 47.59319575, pH: 6.524114355, Rainfall: 94.67344737
Provide a one word answer.",mango,  Orange
"Given the following:
Nitrogen Content: 48.0, Phosphorous Content: 57.0, Potassium Content: 54.0, Temperature: 29.02328049, Humidity: 90.20396783, pH: 6.617703178, Rainfall: 126.8069869, Plant papaya
Nitrogen Content: 58.0, Phosphorous Content: 55.0, Potassium Content: 47.0, Temperature: 26.05375792, Humidity: 93.69111672, pH: 6.742490027, Rainfall: 240.6863901, Plant papaya
Nitrogen Content: 49.0, Phosphorous Content: 55.0, Potassium Content: 51.0, Temperature: 24.87212063, Humidity: 93.90560147, pH: 6.676578778, Rainfall: 135.1694525, Plant papaya
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 48.0, Phosphorous Content: 62.0, Potassium Content: 47.0, Temperature: 25.34756111, Humidity: 93.02871078, pH: 6.803094965, Rainfall: 174.4012337
Provide a one word answer.",papaya,  Papaya.
"Given the following:
Nitrogen Content: 31.0, Phosphorous Content: 40.0, Potassium Content: 22.0, Temperature: 29.40889385, Humidity: 86.16063492, pH: 6.365513634, Rainfall: 53.35486977, Plant mungbean
Nitrogen Content: 31.0, Phosphorous Content: 60.0, Potassium Content: 24.0, Temperature: 25.40474421, Humidity: 65.8567539, pH: 7.722335992, Rainfall: 51.92057267, Plant lentil
Nitrogen Content: 31.0, Phosphorous Content: 6.0, Potassium Content: 26.0, Temperature: 29.12859129, Humidity: 91.30924833, pH: 5.741367375, Rainfall: 157.2388553, Plant coconut
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 31.0, Phosphorous Content: 37.0, Potassium Content: 21.0, Temperature: 27.23924995, Humidity: 86.404241, pH: 6.713410626, Rainfall: 37.31236904
Provide a one word answer.",mungbean,  Lentil
